Mode,Indoor Temp,Indoor Humidity,Air Velocity,Globe Temperature,Outdoor Temp,Outdoor Humidity,Thermal Preference,User Id,Condition
NV,29.7756462,71.74289305,0.13,30.4,92.0,55.0,Cooler,59.0,17.0
NV,28.6000843,77.07266,0.04,29.6,91.0,59.0,Cooler,23.0,16.0
AC,24.77680445,68.98632,0.13,25.8,91.0,55.0,No Change,26.0,2.0
AC,25.5631175,64.94058000000001,0.33,26.4,89.0,58.0,No Change,52.0,3.0
AC,25.14501855,71.93512,0.66,25.75,94.0,53.0,Warmer,36.0,4.0
AC,25.6985817,63.79725075,0.11,25.9,91.0,56.15293706,No Change,14.0,2.0
AC,25.4624636,64.32089210000001,0.79,26.3,89.0,58.0,No Change,51.0,4.0
AC,29.2042246,76.43486999999999,0.48,30.0,87.63262761,58.0,Cooler,18.0,4.0
AC,25.67965695,73.81219999999999,0.34,26.4,91.0,59.0,No Change,56.0,3.0
AC,25.5058241,65.31376,0.37,26.3,89.0,58.0,No Change,49.0,3.0
AC,24.69044305,69.27887,0.04,25.7,91.0,56.47476051,No Change,31.0,1.0
NV,28.10838415,67.471385,0.37,28.7,93.0,46.0,Cooler,45.0,19.0
AC,27.36964795,81.37462500000001,0.38,28.35,88.0,63.0,Cooler,8.0,4.0
NV,28.22226865,79.94888,0.56,29.1,91.0,60.0,No Change,24.0,19.0
NV,28.1956412,67.24078,0.11,28.8,93.0,46.0,Cooler,45.0,19.0
NV,28.84089085,76.13239215,0.03,29.9,92.0,56.0,Cooler,35.0,17.0
AC,25.706242,67.161445,0.1,26.15,91.0,57.0,No Change,16.0,1.0
NV,26.6446638,73.21355,0.02,27.5,82.0,76.0,Cooler,3.0,16.0
NV,29.1541548,75.44713999999999,0.97,30.05,91.0,58.0,Cooler,41.0,19.0
AC,24.69094945,64.04914875,0.03,25.700000000000003,92.0,54.03383261,Cooler,56.0,1.0
AC,23.50389215,65.75912,0.15,24.65,89.0,65.0,Cooler,45.0,1.0
AC,25.3814669,67.28068999999999,0.29,25.75,91.0,56.0,No Change,30.0,3.0
AC,27.60513115,79.99469500000001,0.38,28.25,93.0,55.0,No Change,31.0,3.0
AC,24.8467121,73.885195,0.04,25.7,91.0,59.0,No Change,28.0,1.0
NV,29.16582205,75.45753500000001,0.95,30.0,91.0,58.0,No Change,37.0,19.0
AC,24.89887235,69.08858000000001,0.17,25.8,93.0,55.0,No Change,34.0,3.0
AC,25.15946105,72.66568275,0.16,25.75,93.0,55.0,No Change,34.0,2.0
AC,25.51999855,68.14429,0.22,26.3,90.0,60.0,No Change,42.0,3.0
AC,25.1409359,72.33161,0.05,26.450000000000003,92.0,56.0,No Change,32.0,2.0
AC,24.8117132,61.63976285,0.72,25.65,83.0,73.0,Warmer,3.0,4.0
NV,29.6942501,76.95306015,0.67,30.35,93.0,57.0,Cooler,38.0,18.0
AC,25.4416881,81.129065,0.72,26.1,95.0,51.46150004,No Change,32.0,4.0
AC,25.43798545,67.443635,0.48,25.700000000000003,91.0,55.0,No Change,25.0,4.0
AC,25.7184444,61.3057957,0.09,25.95,91.0,56.0,Warmer,15.0,2.0
AC,25.2204294,69.73222255,0.17,26.35,89.0,61.0,Cooler,9.0,1.0
AC,25.4869926,73.397505,0.19,25.9,88.0,61.0,Cooler,40.0,3.0
NV,28.65853345,67.14589000000001,0.69,29.45,93.0,47.0,Cooler,43.0,17.0
